Size_of_ROIs,Mean_Value,St_Deviation,Skewness,Gradient_Mean_value,Gradient_Variance,Percentage_non_zero_Gradients,Contrast,Correlation,Entropy,Homogenity,Run_Percentage,Long_run_Emphasis,Gray_Value_Distribution,Yearly_Production
20597,97.80613682,101.2372281,0.580940388,136.1480209,12191.6735,0.866776715,41.24167333,9.74E-05,3.855496068,0.203102413,0.499878623,1.982420357,3241.694639,5047.069542
19874,96.80949985,101.4226521,0.594203436,136.6944974,12341.98938,0.86746503,48.20969348,9.70E-05,3.849426645,0.203704046,0.498440173,1.98687664,3109.954371,4861.192611
19974,105.6447882,99.37669128,0.402462602,138.3145308,11994.78908,0.868378893,54.51672719,0.000100973,3.750290831,0.203672697,0.499649544,1.956212425,3145.456914,4928.839279
19087,105.6635406,99.1361629,0.403884721,138.0799483,11980.23686,0.867449049,42.26266882,0.000101545,3.678084608,0.202779919,0.500550113,1.945677203,2998.279883,4670.042495
18989,101.6669651,99.81923463,0.509486491,136.6987293,12057.37531,0.868239507,45.98961175,0.000100141,3.816432438,0.202435099,0.499815683,1.981140027,2968.839427,4638.90412
20688,100.1230182,99.95593894,0.54970605,136.4941488,12042.71045,0.86982792,51.75713376,9.98E-05,3.846136398,0.203162586,0.500725058,1.96872285,3236.782411,5067.714548
20098,107.8522739,99.83479671,0.331471377,138.0616354,11959.98759,0.869738282,62.8207021,0.000100021,3.83050399,0.202917992,0.499552194,1.969223108,3140.916932,4925.099004
19896,109.8499196,100.0842515,0.273170101,138.0647489,11969.96281,0.867008444,50.07317343,9.96E-05,3.800237165,0.202846473,0.499798955,1.972546259,3115.227675,4848.861424
20372,106.1215394,99.49624899,0.384741819,137.383366,11863.36828,0.867710583,51.88696636,0.000100741,3.775524065,0.203733888,0.500539957,1.971167991,3198.392959,4984.574385
19865,106.2858293,99.39097444,0.379041743,136.6823122,11842.03299,0.868009061,51.46681428,0.000100981,3.758587311,0.203538007,0.498716335,1.977288786,3112.823963,4857.115676
20111,109.4832679,99.51743339,0.284507481,139.705055,12136.63223,0.868927453,42.52816786,0.000100739,3.676084981,0.203486975,0.500174034,1.976041356,3153.687543,4898.63734
20841,109.9560482,99.51013166,0.269780988,139.7494094,12142.82754,0.868384435,38.79180043,0.000100786,3.652369255,0.203287601,0.499112327,1.992597577,3269.487214,5088.815036
20640,108.5075097,100.4011559,0.323166769,137.7723881,11933.82921,0.868459302,36.56040625,9.90E-05,3.789508403,0.203592729,0.501162791,1.960943542,3251.395205,5091.881864
19988,107.7604563,99.95276842,0.341041304,136.997059,11899.28206,0.869121473,54.36482622,9.99E-05,3.786356197,0.203219239,0.50025015,1.9589959,3134.59656,4887.869287
19700,110.0230457,99.79795151,0.265449611,139.9826705,12129.18863,0.868832487,46.49179138,0.000100184,3.762057661,0.203473032,0.499593909,1.979780532,3076.020524,4818.986182
